Name,Series,Short Description,Category,Gender,Magic,Memetic,Might,Mind,Motion,Moxie,Mutation,Myth,Stats,Rank,Growth Type,Growth Rate,Restock,Return,Gift,NSFW
Durable,Generic,Passively increases all physical defenses slightly,Passive,N/A,D,F,D,F,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Chronolog,Generic,You have a perfect internal clock down to the millisecond with perfect timing and memory for dates.,Passive,N/A,D,F,F,D,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Flexible,Generic,You are more flexible than an expert contortionist.,Passive,N/A,D,F,F,E,D,F,E,F,12,D,Train,Medium,N/A,N/A,FALSE,FALSE
Heat Object,Generic,"Heat up any object by touching it. The more energy you put in, the faster it heats up, and the more it heats up.",Ability,N/A,D,F,D,F,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Sand Veil,Generic,Create a sandstorm around yourself that hides your location and presence. You can see out of it fine.,Ability,N/A,D,D,F,D,F,F,F,F,15,D,Train,Medium,N/A,N/A,FALSE,FALSE
Shadow Dart,Generic,Create and fire silent shadow darts with bullet-like force,Ability,N/A,D,F,D,F,D,F,F,F,15,D,Train,Medium,N/A,N/A,FALSE,FALSE
Flash Grenade,Generic,Create balls of light that act as flashbangs. Extra painful for dark-aligned enemies,Ability,N/A,D,D,F,F,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Blood Manipulation,Jujutsu Kaisen,"Ultra fine control over your own blood- pressurized bursts, guided arrows, knives, bullets, etc. You can only create more blood by having a physiology that converts energy to blood. Be careful not to die of blood loss.",Ability,N/A,C,D,D,D,D,F,D,D,40,D,Train,Medium,N/A,N/A,FALSE,FALSE
Super Jump,Generic,Jump super high and super far at will. Leap tall buildings and such. You are also passively immune to fall damage.,Ability,N/A,D,F,F,F,C,F,D,F,20,D,Train,Medium,N/A,N/A,FALSE,FALSE
Route,Generic,"If you know the location or address of where you want to go, you can see a line guiding you there",Ability,N/A,D,F,F,D,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Stone Skin,Generic,Cover your skin in a stone-like layer to increase durability and mass,Ability,N/A,D,F,D,F,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Tech Tree: Basic Augments,Generic,"Design, modify, and create technology based around augments and implants. At this level, you're limited mostly to medical grade implants at best.",Skill,N/A,D,F,D,D,F,F,F,F,15,D,Train,Medium,N/A,N/A,FALSE,FALSE
Tech Tree: Basic Defense,Generic,"Design, modify, and create technology based around physical defenses and shields. At this level, you're limited mostly to mundane barriers and bulletproof glass at best.",Skill,N/A,D,F,D,E,F,F,F,F,11,D,Train,Medium,N/A,N/A,FALSE,FALSE
Truth Assertion,Generic,"Allows you to make others think what you're saying is true. While active, you also cannot speak with intent to lie or deceive. Manifests as a glowing white choker.",Ability,N/A,D,D,F,F,F,D,F,E,16,D,Train,Medium,N/A,N/A,FALSE,FALSE
Anchor Point,Generic,"Put a mark at your feet. While the mark is active, you can teleport back to that mark anytime. The further you go, the more energy it takes. Only one at a time.",Ability,N/A,D,F,F,F,B,F,F,F,55,C,Train,Medium,N/A,N/A,FALSE,FALSE
Trial,Generic,"View people in grayscale according to your morality- the darker the shade, the less moral they are by your own reckoning.",Ability,N/A,D,D,F,D,F,F,F,F,15,D,Train,Medium,N/A,N/A,FALSE,FALSE
Condor Candle,Deadman Wonderland,Expend health and energy to remotely detonate your blood into a conflagration. More vitality means more fire and force.,Ability,N/A,C,F,D,F,F,F,C,F,25,D,Train,Medium,N/A,N/A,FALSE,FALSE
Deathclaw Pair,Fallout,"A pair of Alpha Deathclaws that, somehow, listen to you. They are a breeding pair. They're also incredibly strong and absorb radiation.",Familiar,Other,C,F,C,E,C,D,B,F,86,C,Trust,Medium,N/A,N/A,FALSE,FALSE
Clothes Melting Slime,Generic,"A gray slime creature that melts all things referred to as clothes. The more clothes melted, the stronger it gets. The Apex Predator of all clothing.",Familiar,Other,D,E,D,F,F,D,F,F,16,D,Trust,Medium,N/A,N/A,FALSE,FALSE
Yes Man,Fallout,A reprogrammed Securitron capable of interfacing with tech and writing code. Armed with its own guns. Incapable of telling you no.,Familiar,Male,D,F,D,D,D,D,F,F,25,D,Trust,Medium,N/A,N/A,FALSE,FALSE
Connor,Detroit: Become Human,"An android sent by Cyberlife. Strong, competent, really good at detective work, odd habit of licking things. May go rogue when under high stress.",Familiar,Male,D,F,D,D,D,D,F,F,25,D,Trust,Medium,N/A,N/A,FALSE,FALSE
B-2 Super Battle Droids,Star Wars,"The workhorse of the Clone Wars. Big, heavy, huge, strong, deadly. Armed with wrist blasters on both forearms. Start with 4, summon more as time goes on.",Familiar,Other,C,F,C,E,D,C,F,C,46,D,Time,Medium,N/A,Auto,TRUE,FALSE
Junimo,Stardew Valley,"The apple shaped keepers of the forest. Supernaturally good at maintaining wilderness, forests, and farms. Start with 50, increases over time.",Familiar,N/A,C,F,F,E,E,F,E,D,18,D,Time,Medium,N/A,N/A,FALSE,FALSE
Wardrobe of Mending,Generic,A wardrobe of fancy clothes that suit your tastes. Mends clothes automatically when not worn for 24 hours.,Wearable,N/A,D,F,F,F,F,E,F,F,6,E,N/A,N/A,N/A,8hr,TRUE,FALSE
Pitcher of Eternal Water,HunterxHunter,A pitcher that can pour out an endless amount of clean drinking water.,Novelty,N/A,E,F,F,F,F,F,F,E,2,F,N/A,N/A,N/A,8hr,TRUE,FALSE
Fairy Powder,Black Souls,Inhale the powder to instantly be put into a deep sleep. Injury wakes the inhaler up instantly. Does not work on stronger foes.,Arsenal,N/A,D,E,F,F,F,F,F,F,6,E,N/A,N/A,24hr,8hr,TRUE,FALSE
Durable Baseball Bat,Generic,It'd take a nuke to deform this baseball bat.,Arsenal,N/A,E,F,C,F,F,F,F,F,11,D,N/A,N/A,N/A,8hr,TRUE,FALSE
Costume Wardrobe,Generic,"An infinite wardrobe full of any normal clothes you desire. Nothing too expensive or heavy, sorry! 50 outfits can be removed per day.",Wearable,N/A,E,F,F,F,F,D,F,F,6,E,N/A,N/A,24hr,8hr,TRUE,FALSE
Justice's Shades,Helltaker,Really cool shades that detect when someone believes they're lying to you.,Wearable,N/A,E,F,F,D,F,D,F,F,11,D,N/A,N/A,N/A,8hr,TRUE,FALSE
Stamin-Up,Call of Duty,A can of soda that increases stamina for one hour. Tastes really sour. Does not stack. You must drink the whole can. Do not drink more than 3 different buffing drinks at once. You will die.,Consumable,N/A,E,F,D,E,F,F,E,F,8,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Falcon's Eye,Xiaolin Showdown,"A Shen Gong Wu monocle shaped like a falcon's head. Grants super vision: X-ray, far sight, and dark sight all at once.",Arsenal,N/A,D,F,F,D,F,F,F,C,20,D,N/A,N/A,N/A,Manual,TRUE,FALSE
Chekov's Gun,Generic,An M1 Garand that always shows up right when you need it and it ends up being useful. Can be modified without losing properties. Always shows up pristine and fully loaded.,Arsenal,N/A,D,E,D,F,E,F,F,F,12,D,Tinker,Medium,N/A,8hr,TRUE,FALSE
Hawk Glasses,Generic,Regular glasses that grant the metaphorical visual acuity of a hawk,Wearable,N/A,E,F,F,D,F,E,F,F,7,E,N/A,N/A,N/A,8hr,TRUE,FALSE
Hound Collar,Generic,A red dog collar that enhances olfactory abilities to bloodhound-like levels,Wearable,N/A,E,E,F,D,F,F,F,F,7,E,N/A,N/A,N/A,8hr,TRUE,FALSE
Brace of Exploding Tags,Naruto,"A leather pouch containing 50 explosive tags. Each one goes off like a hunk of C4, enough to bust through walls and injure or kill enemy combatants from up to 15 feet away. Imbue with energy, then throw or set on a surface and RUN. Can be remote detonated with practice.",Arsenal,N/A,C,D,C,F,F,F,F,F,25,D,Train,Medium,1wk,8hr,TRUE,FALSE
Black Bow of Pharis,Dark Souls,"A bow once belonging to the Heroic Archer Pharis. Has a very long range, and slightly guides your own aim. Comes with 30 arrows.",Arsenal,N/A,D,F,C,E,F,F,F,C,26,D,Train,Medium,24hr,8hr,TRUE,FALSE
Holy Hand Grenade of Antioch,Monty Python,"O Lord, bless this thy hand grenade, that with it thou mayst blow thine enemies to bits, in thy mercy. Take out the Holy pin, count to three, then throw. Will snuff out thine foes who are naughty in God's sight with 1 kiloton of force.",Arsenal,N/A,C,C,C,F,F,C,F,B,90,C,N/A,N/A,1wk,8hr,TRUE,FALSE
Gag of Silence,Generic,A ball gag that silences all noises produced by the wearer. Good for spies and ninja. Still humiliating.,Wearable,N/A,D,D,F,F,D,F,F,F,15,D,N/A,N/A,N/A,8hr,TRUE,TRUE
Green Spandex,Naruto,A green spandex suit that harnesses the power of YOUTH! Proudly wear it to gain extra bonuses to physical training and stamina recovery.,Wearable,N/A,D,F,D,D,D,D,F,C,35,D,N/A,N/A,N/A,Manual,TRUE,FALSE
Physician's Ring,Generic,A platinum ring with a pink diamond. Increases comprehension and dexterity in all medical matters.,Wearable,N/A,D,F,F,D,F,F,F,F,10,D,N/A,N/A,N/A,8hr,TRUE,FALSE
Youmu Konpaku Fumo,Touhou Project,Rub the fumo against a sword to bless it with sharpness and anti-spirit properties,Novelty,N/A,D,D,D,F,F,E,F,F,16,D,N/A,N/A,N/A,Manual,TRUE,FALSE
Fujiwara no Mokou Fumo,Touhou Project,"A fumo that never stays damaged, repairing itself instantly no matter what. Rub it against stuff to set that stuff on fire.",Novelty,N/A,C,D,D,F,F,E,F,F,21,D,N/A,N/A,N/A,Manual,TRUE,FALSE
Apprentice Driving,Generic,"You can drive anything with a fair amount of skill, from cars to planes to boats",Skill,N/A,E,F,F,D,F,F,F,F,6,E,Train,Medium,N/A,N/A,FALSE,FALSE
Beginner Teaching,Generic,You just got your teaching degree! Good luck getting your students to engage.,Skill,N/A,E,E,F,E,F,E,F,F,4,F,Train,Slow,N/A,N/A,FALSE,FALSE
Beginner Polearm Mastery,Generic,"You can use any polearm with decent effectiveness, but anyone who knows how to fight with one will beat you",Skill,N/A,E,F,E,E,F,F,F,E,4,F,Train,Slow,N/A,N/A,FALSE,FALSE
Beginner Savoir Faire,Generic,You're more graceful and know how to dance properly now. You can fall with grace and dignity.,Skill,N/A,E,F,F,E,E,F,F,E,4,F,Train,Slow,N/A,N/A,FALSE,FALSE
Mixology,Generic,"You're a damn good bartender and mixologist, good enough to get hired anywhere at a mundane level of skill. Still not as cool as that one japanese guy, though.",Skill,N/A,E,F,F,E,E,E,F,E,5,E,Train,Medium,N/A,N/A,FALSE,FALSE
Architecture,Generic,You're damn good at architecture to the point of designing entire cities aesthetically. Engineers hate you.,Skill,N/A,E,F,F,E,F,E,F,E,4,F,N/A,N/A,N/A,N/A,FALSE,FALSE
Kidnapping,Generic,You're damn good at kidnapping people for... some... reason...?,Skill,N/A,E,E,E,E,E,F,F,F,5,E,N/A,N/A,N/A,N/A,FALSE,FALSE
Strong,Generic,You have slightly increased passive strength. Grows over time and applies to all strength buffs.,Passive,N/A,D,F,D,F,F,F,F,F,10,D,Train,Medium,N/A,N/A,FALSE,FALSE
Child Friendly,Generic,The opposite of the NSFW tag. Keeps everything around you PG-13 and hides the worst of reality from sight. Mostly your junk.,Passive,N/A,D,D,F,F,F,D,F,D,20,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Paper Trail,Generic,You always have your relevant papers and ID with you for whatever situation you're in. Extends to all allies when in the same group.,Passive,N/A,D,D,F,D,F,D,F,D,25,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Aesthetic Overlay,Generic,"Your transformations, race changes, and body changes all stay aesthetically pleasing. To you, at least.",Passive,N/A,D,D,F,F,F,C,D,D,30,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Introspection,Generic,"You always know your own condition, mentally and physically. Poison, depression, illness, injury, etc etc. You always know what's going on with you.",Passive,N/A,D,F,F,D,F,E,F,D,16,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Shoebody,Drue Langlois,"The great teachings of John the Boptist. You know the perfect way to headbutt someone, and your forehead is strengthened for that purpose. Shoebody BOP! Increases acapella skill for some reason.",Passive,N/A,E,E,D,F,F,D,E,E,14,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Electrician,Generic,"No, not the trade. You just get higher electrical resistance and higher electric ability efficiency",Passive,N/A,D,F,D,E,F,F,D,F,16,D,Train,Medium,N/A,N/A,FALSE,FALSE
I Can Quit Whenever I Want,Generic,"You are immune to getting addicted to any substance, no matter how much it affects your brain.",Passive,N/A,D,D,F,D,F,F,D,D,25,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Spine of Steel,Generic,"Your spine is abnormally durable and hard to injure. Even if completely shattered, your spine heals properly far faster than any normal human",Passive,N/A,D,F,D,F,F,F,D,F,15,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Poisonous,Generic,"Every part of you is poison- flesh, bones, blood, energy, soul. The potency depends on your own stats. You are, thankfully, immune to your own poison. You might need something to regulate all this at will.",Passive,N/A,D,F,E,F,F,F,C,F,16,D,Train,Medium,N/A,N/A,FALSE,FALSE
Adhesion,Generic,You can be sticky enough to cling to walls or prevent people from unsticking themselves from you. You can control your own stickiness. You're still no Spider-Man though.,Passive,N/A,F,F,F,F,F,F,F,F,0,F,Train,Medium,N/A,N/A,FALSE,FALSE
Deadman,Deadman Wonderland,"Your body has been implanted with a Nameless Worm, transforming you into a Deadman. Your body has gained a 'Red Diamond' inside of it, and yve gained access to a Branch of Sin ability. What your ability manifests as will be random, and could be long range, close range, or even allow you to create Hexagonal Wires connected by Blood. You'll need to train to prevent Anemia, and may even be able to evolve your abilities to crush entire cities.",Race,N/A,B,F,C,F,B,F,B,F,160,B,Train,Fast,N/A,N/A,FALSE,FALSE
Nullbulge,Generic,"A black sticky orb that when attached on someone's crotch, will cover either their body or underwear in a layer of the same colour, making the orb gain a customizable symbol and turning it into a really sensitive part of the body incapable of getting release. The orb can only be removed by the one that placed it in the first place.",Wearable,N/A,E,E,E,F,F,E,F,E,5,E,N/A,N/A,8hr,N/A,TRUE,TRUE
The Backrooms,The Backrooms,"In your world there is an alternate dimension born from the cognition of all living beings, resembling more a desolate office space with half-working ceiling lights and half-wet carpet floor that smells of almond. The only way to enter here is by 'No-clipping' on a random space in the world, you will neither suffer hunger nor thirst, but returning will be a challenge on itself.",World,N/A,C,S,B,D,F,D,F,C,580,A,N/A,N/A,N/A,N/A,FALSE,FALSE
Find my Pages,Slenderman,"Now in a forest in the world, resides the Slenderman and its pages. Anyone unfortunate to enter the forest and grab one of the pages will incur its wrath. If you find all of its pages without dying, it will occasionally aid you at odd times.",World,N/A,B,A,B,D,C,E,F,A,316,B,N/A,N/A,N/A,N/A,FALSE,FALSE
Juggernog,Call of Duty,"A can of cola that increases resilience for one hour. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,F,F,E,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Double Tap Root Beer,Call of Duty,"Root beer that somehow increases fire rate for one hour. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,F,E,F,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
PhD Flopper,Call of Duty,"Everybody do the flop! Grants immunity to explosions and fall damage for one hour. When you drop to the ground from a small height, makes you explode and harm everyone around you. Tastes like prunes and chemicals. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,E,F,D,F,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Deadshot Daiquiri,Call of Duty,"When attack, you will always naturally aim for the head for one hour. Tastes sweet, like strawberries. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,E,F,F,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Mule Kick,Call of Duty,"Somehow allows you to carry one more weapon than you normally could without issue for one hour. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,E,F,F,D,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Tombstone Soda,Call of Duty,"For one hour, if you are severely injured or killed, you will not lose anything you would normally have lost as a result. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,D,F,F,F,F,E,F,F,6,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Double Tap Root Beer II,Call of Duty,"For one hour weapons shoot or arm faster and each bullet inexplicably becomes two at no cost. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,F,D,F,F,F,11,D,N/A,N/A,24hr,N/A,TRUE,FALSE
Who's Who,Call of Duty,"For one hour, if you are injured to the point of unconciousness or killed, a doppelganger will spawn. You control the doppelganger, who only has a pistol and clothes, and if you get back to your body you may revive yourself, keeping everything but this perk. The doppelganger spawns near, but not in sight of, your body. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,D,F,F,F,D,F,F,F,10,D,N/A,N/A,24hr,N/A,TRUE,FALSE
Electric Cherry,Call of Duty,"Reloading any weapon causes a small shockwave centered on yourself for one hour. This shockwave stuns anyone too close to you. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,F,F,F,F,F,6,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Vulture Aid Elixir,Call of Duty,"For a single hour, you may see anything helpful to you through walls, such as unusued weapons. In addition, you have a much higher chance to somehow obtain ammo for your weapons or money from defeated foes. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,F,E,D,F,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Widow Wine,Call of Duty,"If you're hit, an explosion of webbing will occur that binds anyone near you. Further, any explosives you use also send out these webs in addition to their usual effects and melee weapons will equally bind foes. This effect lasts one hour. You must drink the entire can. Doesn't stack. Don't have more than four buffing drinks active at a time, you'll explode.",Consumable,N/A,E,F,D,F,E,F,F,F,7,E,N/A,N/A,24hr,N/A,TRUE,FALSE
Perkaholics Anonymous,Call of Duty,"Perks just keep coming... you may activate the effects of any perk soda at will for the standard hour, with a cooldown of four hours after use. Further, you may drink any number of perk sodas, or activate any number of their effects, at one time without suffering any negative effects.",Passive,N/A,D,F,D,F,D,D,F,F,20,D,N/A,N/A,N/A,N/A,FALSE,FALSE
The Thievius Raccoonus,Sly Cooper,"An ancient family tome passed down through history, the Thievius Raccoonus has been filled out by generation after generation of the Cooper Clan. With this book, you can learn the skills of a master thief, and eventually see the blue sparks. Remember to jump and hit the Circle button.",Skill,N/A,C,F,F,C,C,D,F,A,135,B,Train,Slow,N/A,N/A,FALSE,FALSE
A Case of RC Cola,Generic,"A four pack of ice cold Royal Crown Draft Cola in glass bottles. Kind of a dud, but it tastes nice.",Consumable,N/A,F,F,F,F,F,F,F,F,0,F,N/A,N/A,24hr,N/A,TRUE,FALSE
Boss Monster,Dark Souls,"You're bigger. You're stronger. You're more resilient. You have a health bar constantly visibly to anyone that tries to fight you. You have a theme song that plays whenever you fight. You can use fog to block and area and force anyone entering to confront you. You're the fucking boss, and nobody is going to forget it.",Passive,N/A,D,F,D,F,D,C,F,E,26,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Apotheosis,Generic,"You're a god. Not metaphorically or anything- legitimately a god. Choose something, you're in charge of it. Choose a couple more things if you want. You aren't in charge of them, but you can still do some stuff with it. Be careful- you can still die, and the games gods play are always the most dangerous.",Race,N/A,SS,SS,SS,SS,SS,SS,SS,SS,"8,000",SS,N/A,N/A,N/A,N/A,FALSE,FALSE
Aperture Science,Portal,"Under a wheat field and an outhouse lies the abandoned and partially destroyed main HQ of Aperture Science, overseen by GLaDOS. Should you find yourself here and complete the tests you'll find the documents necessary to declare yourself the CEO and sole owner of the entire company. The company maintains its excellent, if insane, reputation.",World,N/A,F,B,C,S,D,C,D,S,"1,080",S,N/A,N/A,N/A,N/A,FALSE,FALSE
Fazbear Entertainment,Five Nights at Freddy's,"A Utah based megacorporation reponsible for many extreme advances in robotics and artificial intelligence, all driven into attempting to making chain mascot resaurants. They own their entire supply chain, from the restaurants to the contruction companies to the mining companies. Currently overseen by a board of directors infected by the Mimic- a hostile memetic/roboic entity based on child murderer WIlliam Afton. Solving the mysteries of the various murders and haunting of the company will grant you documents allowing you to take control of the entire company. Provided you have any ability at seeing into Hell, you can find William Afton himself, if you want to stab him or something.",World,N/A,D,C,D,C,D,D,F,A,140,B,N/A,N/A,N/A,N/A,FALSE,FALSE
Bat Shark Repellant,DC Comics,It repels sharks. That's it.,Consumable,N/A,E,E,F,F,F,F,F,F,2,F,N/A,N/A,8hr,N/A,FALSE,FALSE
Dryleaf Arts,Elden Ring,"The teachings of a group of spiritual seekers known as the Dryleaf Sect, revealed only to those of worthy valor and character. The practice of this martial art marks the dawn of an ascetic's journey. You now know both the common version of the art and the version used by Dryleaf Dane.",Skill,N/A,E,E,D,F,E,E,F,D,14,D,Train,Slow,N/A,N/A,FALSE,FALSE
Emu,Generic,A normal Australian emu with intelligence close to that of a human. You may choose the sex.,Familiar,N/A,F,E,E,E,E,E,F,F,5,E,Trust,Slow,N/A,N/A,FALSE,FALSE
Pigeon,Generic,A normal pidgeon with intelligence close to that of a human. You may choose the sex.,Familiar,N/A,F,F,F,E,E,F,F,F,2,F,Trust,Fast,N/A,N/A,FALSE,FALSE
Sentient Battleform,Warframe,"Cast and cry, cast and cry~ You are now a Sentient battle form, ranging anywhere from the size of a large dog to almost 20 feet tall. You can fly, are an inhumanly shaped mass of robotics with a central core, have cool glowy bits, energy projectiles, and probably a laser beam. Also, you can hack into just about any tech you find.",Race,N/A,S,B,B,C,B,D,B,B,765,A,Tinker,Fast,N/A,N/A,FALSE,FALSE
Hercules Gene/MSTN Gene (Myostatin),Generic,"A mutation on both copies of the myostatin gene that removes limits on muscle mass. You have the idealized form of this, now getting larger and stronger muscles, and rapidly enhancing any gains from training. Just make sure to eat a lot of protein.",Passive,N/A,D,E,D,E,D,E,D,E,24,D,Train,Medium,N/A,N/A,FALSE,FALSE
Reverse Card,UNO,"A single use card that can reflect anything. Attacks, insults, debt, you name it!",Consumable,N/A,EX,D,F,F,F,F,F,D,"10,010",SSS,Twin,Snail,1yr,N/A,FALSE,FALSE
Ludicrous Speed,Space Balls,Spaceball I's warp drive compressed into a pocket sized button! Guaranteed to get you anywhere you need to be before you need to be there! (Warning: Using this will cause you to go plaid and possibly slam into a wall when trying to slow down),Arsenal,N/A,F,D,F,F,SS,F,F,F,"1,005",S,Tinker,Slow,N/A,N/A,FALSE,FALSE
Pokemon Egg,Pokemon,Congratulations on starting your Pokemon Journey! Here's your complementary Egg! It will hatch anywhere from 5 to 120 days (depending on egg cycle) into a random non-Mythical/non-Legendary Stage 1 pokemon and will bond with whomever the owner of said egg is upon hatching. Roll a random number for your new companion!,Familiar,N/A,D,F,F,F,F,F,D,D,15,D,Trust,Fast,N/A,N/A,FALSE,FALSE
Random Technical Machine,Pokemon,"A one-time use disk that will teach the recipient one random Pokemon move from the list of available TM moves. As TM numbers shift between each generation, the generation this disk will draw from will be randomized.",Consumable,N/A,D,D,D,D,D,D,D,D,40,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Codec System,Metal Gear,A special operations micro radio system that can transmit images and whole conversations in less than a second with the reciever manipulating the small bones in ear for an incoming call. Every restock grants an additional pair.,Arsenal,N/A,F,D,F,F,F,E,F,B,56,C,Trust,Slow,1wk,N/A,FALSE,FALSE
Technical Machine Carry Case,Pokemon,A storage container that creates one-time use disks that will teach the recipient the pokemon move it contains. These disks will be generated at a rate of 1 disk per 1 week and can be stored in the container for future use. Every disk's imprinted move is randomized on creation from the list of available TM moves. Roll a random number to decide the generation it draws from.,Consumable,N/A,C,C,C,C,C,C,C,C,80,C,N/A,N/A,1wk,N/A,FALSE,FALSE
Omnipotent Orb,Persona,"The Omnipotent Orb is an a sphere made of an unknown material that bends the laws of the universe to nullify damage from any and all attacks, physical or magical, with the sole exception of 'Almighty' attacks capable of erasing something from existence.",Arsenal,N/A,EX,F,EX,F,F,F,F,EX,"30,000",SSS,N/A,N/A,N/A,N/A,FALSE,FALSE
Lucky Mallet,Persona,"This little mallet will slightly increase the strength, dexterity, vitality, agility and luck of whoever it hits.",Arsenal,N/A,D,D,D,F,D,F,F,D,25,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Friede's Great Scythe,Dark Souls,"A large scythe that innately freezes an enemy on contact. Somehow always slashes the opponent no matter where they are struck with it, though more damage is done when the actual blade hits. By using a bit of energy a second, smaller, scythe may be summoned that inflicts magic damage. Together they are extremely aggressive and can send out sheets of ice that explode a second or two later.",Arsenal,N/A,D,F,D,F,D,E,F,E,17,D,N/A,N/A,N/A,N/A,FALSE,FALSE
Tech Tree: Factorio,Factorio,FACTORY IS GOD. You gain knowledge of the entire tech tree of Factorio starting from Nauvis all the way to Space Age. Makes you violently murderous towards large bugs. The Factory Must Grow.,Skill,N/A,B,C,D,SS,SS,E,B,C,"2,126",S,Tinker,Fast,N/A,N/A,FALSE,FALSE
Highlight,Generic,"Mark a target on touch. All highlighted targets have a colored outline you can see as long as they're within visible range, even through walls or while blind.",Ability,N/A,E,F,F,D,F,F,F,F,6,E,Train,Slow,N/A,N/A,FALSE,FALSE
Focused Strikes,Generic,Mark a target within line of sight. All attacks while active will only deal damage to that target. ,Ability,N/A,D,F,F,D,F,F,F,F,10,D,Train,Slow,N/A,N/A,FALSE,FALSE
Alcremie,Pokemon,"A dessert themed pokemon, sweet and cute. Comes in 9 cute varieties. Not always great at fighting, but she'll do her best! Extra damage against dragons due to Fairy typing",Familiar,Other,D,D,D,E,D,C,D,D,41,D,Trust,Medium,N/A,N/A,FALSE,FALSE
Miriel the Pastor of Vows,Elden Ring,"The steward of the Church of Vows. A gigantic tortoise wearing a large white mitre, Miriel is a gentle soul who will happily assist you on your journey. Miriel can be given scrolls as well as prayerbooks, and will readily teach new spells to the player for an appropriate fee. The best dog",Familiar,Male,C,E,D,C,E,F,D,C,42,D,Trust,Medium,N/A,N/A,FALSE,FALSE
Bucky,Chainsaw Man,"A headless chicken with a bowtie. Never stops joking around. As a Devil, he can form contracts with others and heal via blood. Not very strong, though, because people aren't afraid of chickens.",Familiar,Male,D,E,F,E,F,F,D,D,17,D,Trust,Medium,N/A,N/A,FALSE,FALSE
Crate of Explosives,Generic,"A crate of prospector's TNT. Use it wisely, and don't let anyone think it's a weird candle brand.",Consumable,N/A,F,E,C,F,F,F,F,F,11,D,N/A,N/A,24hr,N/A,TRUE,FALSE
X-ray Goggles,HunterxHunter,"A pair of X-Ray goggles that do all that fun stuff you saw on TV. See through walls, see through clothes, see through things you really don't want to. Comes with a dial to adjust the depth.",Wearable,N/A,E,F,F,D,F,F,F,F,6,E,N/A,N/A,N/A,N/A,TRUE,FALSE
Long Lost Delivery,HunterxHunter,A single use cell phone. Call the number within and describe your lost item. It will be delivered in less than a week.,Consumable,N/A,C,F,F,F,F,F,F,D,15,D,N/A,N/A,1wk,N/A,TRUE,FALSE
Horseshoe Necklace,Generic,A horseshoe on a necklace that grants the leg strength and stamina of a well bred horse. Kimi no aiba ga~!,Wearable,N/A,E,F,D,F,D,F,D,F,16,D,Train,Medium,N/A,N/A,TRUE,FALSE
Barrel of Everflowing Oil,Generic,"A 55 gallon drum containing an endless supply of medium quality crude oil. When tipped, oil pours at a steady 10 gallons per minute. Do not damage or modify the drum.",Novelty,N/A,C,F,E,F,F,F,F,E,12,D,N/A,N/A,N/A,N/A,TRUE,FALSE
